iter	RMSE
0	295.0091798
1	291.1011564
2	287.6633855
3	283.287952
4	279.7793093
5	276.3914894
6	273.7443292
7	270.9420704
8	269.0059999
9	266.524464
10	263.3513683
11	261.2344343
12	258.9557765
13	257.4161932
14	255.0436954
15	253.2693769
16	251.7674309
17	249.6442733
18	247.6980499
19	246.6703602
20	245.5848551
21	244.0975897
22	242.5087066
23	240.7019675
24	239.4667418
25	237.9700651
26	237.2654212
27	235.8263151
28	235.0237297
29	233.5095907
30	232.5154685
31	231.9428736
32	231.0373473
33	230.1549031
34	229.7318864
35	228.8993369
36	227.5757793
37	226.2910426
38	225.4399894
39	224.8291544
40	223.9192435
41	223.2562437
42	222.4076106
43	221.9675652
44	220.9661812
45	220.7742451
46	220.3211649
47	219.6533223
48	219.2821067
49	218.5151871
50	217.8677521
51	217.5396808
52	217.1497011
53	216.8036555
54	215.6493931
55	215.0727991
56	214.6071558
57	213.9860657
58	213.6207179
59	213.2683549
60	212.6278075
61	211.7341265
62	210.9249926
63	210.5035785
64	209.7319191
65	209.0544342
66	208.1139783
67	207.8563352
68	207.5674104
69	207.3330905
70	207.155536
71	206.8155762
72	205.7226433
73	205.1606577
74	204.1261675
75	203.7853974
76	203.52932
77	203.2603326
78	203.0644413
79	202.8818427
80	202.6235441
81	202.4907702
82	202.001432
83	201.7620339
84	201.5522162
85	201.0398695
86	200.80957
87	200.2597542
88	199.616203
89	198.9238188
90	198.4663746
91	197.8388293
92	197.355333
93	196.7850531
94	196.1002217
95	195.6609543
96	194.5469091
97	193.5713054
98	193.2139855
99	192.7759261
100	192.368697
101	191.7363289
102	191.4094133
103	190.8543508
104	190.4770514
105	189.8909685
106	189.1999818
107	188.8272371
108	188.5212803
109	188.3621057
110	188.1262869
111	187.7785071
112	187.4569204
113	187.2612316
114	186.7882937
115	186.6343431
116	186.3230476
117	185.4293527
118	185.0730766
119	184.9082322
120	184.768487
121	184.5686774
122	184.4680182
123	184.2012203
124	183.7676551
125	183.5824291
126	183.2349808
127	182.9868857
128	182.7271389
129	182.4548552
130	182.1756535
131	181.9613816
132	181.4549743
133	181.2430948
134	180.6655263
135	180.4640193
136	179.7442675
137	179.39216
138	179.1096698
139	178.910804
140	178.4192182
141	178.23248
142	177.8078238
143	177.6209753
144	177.5215974
145	177.3227044
146	177.1608102
147	176.8240788
148	176.1936923
149	176.016144
150	175.6070676
151	175.5146917
152	175.2397647
153	174.7330645
154	174.5550909
155	174.3646273
156	174.3205346
157	174.0624982
158	173.8431371
159	173.4252968
160	172.9331274
161	172.8092545
162	172.1636528
163	171.9243606
164	171.3315973
165	171.1051815
166	170.6821301
167	170.1620598
168	169.6756036
169	169.4417209
170	169.3044565
171	169.1346129
172	168.9932605
173	168.8163984
174	168.5702051
175	168.4283031
176	168.2120413
177	167.9826704
178	167.7879799
179	167.6189607
