iter	Passed	Remaining
0	235	42102
1	402	35826
2	601	35469
3	763	33591
4	1114	39006
5	1310	38001
6	1485	36718
7	1701	36574
8	1902	36154
9	2064	35104
10	2197	33760
11	2333	32665
12	2426	31174
13	2552	30261
14	2683	29513
15	2784	28543
16	2879	27608
17	3059	27539
18	3218	27268
19	3353	26830
20	3457	26175
21	3641	26152
22	3777	25783
23	3944	25641
24	4097	25403
25	4244	25142
26	4357	24692
27	4444	24124
28	4575	23823
29	4726	23630
30	4845	23287
31	4952	22905
32	5111	22768
33	5244	22521
34	5333	22094
35	5428	21713
36	5576	21553
37	5722	21384
38	5895	21313
39	5997	20990
40	6169	20915
41	6266	20588
42	6340	20199
43	6426	19863
44	6531	19594
45	6613	19264
46	6708	18984
47	6803	18708
48	6886	18411
49	6991	18177
50	7077	17902
51	7157	17618
52	7257	17390
53	7336	17118
54	7415	16853
55	7523	16658
56	7601	16404
57	7680	16155
58	7812	16021
59	7923	15846
60	8052	15709
61	8210	15626
62	8339	15486
63	8463	15339
64	8634	15276
65	8753	15120
66	8840	14909
67	8954	14747
68	9094	14630
69	9195	14450
70	9265	14225
71	9363	14045
72	9451	13853
73	9536	13659
74	9649	13509
75	9752	13345
76	9843	13167
77	9953	13015
78	10075	12881
79	10174	12718
80	10353	12653
81	10591	12657
82	10820	12645
83	10941	12504
84	11107	12414
85	11192	12234
86	11284	12063
87	11388	11905
88	11513	11772
89	11614	11614
90	11715	11457
91	11811	11297
92	11911	11142
93	11987	10967
94	12064	10794
95	12151	10632
96	12249	10481
97	12347	10331
98	12454	10189
99	12611	10089
100	12721	9950
101	12811	9796
102	12911	9652
103	13012	9509
104	13109	9364
105	13187	9206
106	13286	9064
107	13365	8910
108	13454	8763
109	13561	8630
110	13661	8492
111	13745	8345
112	13851	8212
113	13937	8068
114	14024	7926
115	14141	7802
116	14225	7659
117	14350	7540
118	14534	7450
119	14742	7371
120	14868	7250
121	14980	7121
122	15128	7010
123	15270	6896
124	15389	6771
125	15499	6642
126	15599	6509
127	15692	6375
128	15799	6246
129	15879	6107
130	15973	5974
131	16071	5844
132	16160	5710
133	16239	5574
134	16341	5447
135	16422	5313
136	16514	5183
137	16615	5057
138	16704	4927
139	16803	4800
140	16950	4688
141	17131	4584
142	17291	4474
143	17428	4357
144	17608	4250
145	17749	4133
146	17921	4023
147	18067	3906
148	18209	3788
149	18293	3658
150	18389	3531
151	18515	3410
152	18687	3297
153	18836	3180
154	18997	3064
155	19181	2950
156	19368	2837
157	19545	2721
158	19648	2595
159	19733	2466
160	19842	2341
161	19927	2214
162	20014	2087
163	20122	1963
164	20208	1837
165	20296	1711
166	20383	1586
167	20489	1463
168	20601	1340
169	20738	1219
170	20908	1100
171	21096	981
172	21254	859
173	21370	736
174	21515	614
175	21630	491
176	21789	369
177	21886	245
178	21973	122
179	22070	0
