file,mae,mse,rmse,mape,smape
test_results_10001843.csv,47.21,23.96,21.4,,0.0
test_results_10113816.csv,53.4,-171.9,-58.98,,0.0
test_results_10119490.csv,31.84,-471.56,-143.53,-670.76,-8.33
test_results_10001086.csv,1.61,-112.34,-55.59,-4.83,-1.22
test_results_10101991.csv,34.16,-8.25,-4.1,35.99,-4.26
test_results_10022559.csv,16.7,-0.68,-0.36,1.16,-12.47
test_results_10112590.csv,53.73,0.06,61.36,,0.0
test_results_10136730.csv,53.73,0.06,61.36,,0.0
test_results_10121183.csv,-29.54,-5325.16,-654.01,-1277.03,-34.07
test_results_10001211.csv,8.83,-26.34,-12.58,21.24,-1.1
test_results_10103269.csv,53.4,0.06,61.08,,0.0
test_results_10001059.csv,56.9,-50024.12,-2182.86,,0.0
test_results_10036233.csv,24.46,-72.06,-30.75,51.96,-8.21
test_results_10097274.csv,-19.42,-3.78,-1.89,6.04,-0.01
test_results_10119640.csv,53.4,0.06,61.08,,0.0
test_results_10000721.csv,16.54,1.57,0.79,-1.17,-0.07
test_results_10021211.csv,1.98,7.59,3.85,10.23,-0.04
test_results_10126037.csv,49.27,0.06,56.0,,0.0
test_results_10020862.csv,53.4,0.06,61.08,,0.0
test_results_10025973.csv,53.4,0.06,61.08,,0.0
test_results_10129125.csv,53.4,0.06,61.08,,0.0
test_results_10001369.csv,0.27,0.41,0.21,-0.28,-0.01
test_results_10126038.csv,53.4,0.06,61.08,,0.0
test_results_10120528.csv,51.16,-36178.6,-1849.73,,0.0
test_results_10001224.csv,1.91,0.87,0.43,-0.01,-0.0
test_results_10036336.csv,-148.26,-73033.36,-2600.17,,0.0
test_results_10022547.csv,-74.47,-380.89,-118.42,-487.72,-10.28
test_results_10001237.csv,4.23,-46.28,-21.22,18.78,-0.03
test_results_10100348.csv,53.4,0.06,61.08,,0.0
test_results_10100372.csv,53.86,-0.17,61.17,,0.0
test_results_10126039.csv,53.73,1.54,56.33,,0.0
test_results_10005059.csv,64.86,-6375.78,-704.65,,0.0
test_results_10119489.csv,53.4,0.06,61.08,,0.0
test_results_10108302.csv,53.4,0.06,61.08,,0.0
test_results_10098865.csv,5.49,0.46,0.22,3.97,-0.0
test_results_10120897.csv,49.27,0.06,56.0,,0.0
test_results_10001082.csv,-1.06,6.53,3.29,-23.66,-25.3
test_results_10001098.csv,-4.46,3.62,1.82,-71.02,-19.66
test_results_10037484.csv,53.4,0.06,61.08,,0.0
test_results_10093597.csv,47.25,-27415.08,-1618.59,,0.0
test_results_10100572.csv,56.33,-1764.53,-324.92,,0.0
test_results_10133474.csv,53.4,0.06,61.08,,0.0
test_results_10005061.csv,63.65,-811.85,-204.28,9.02,-0.68
test_results_10000363.csv,55.34,-403.89,-119.46,,0.0
test_results_10021171.csv,53.4,0.06,61.08,,0.0
test_results_10001254.csv,47.02,-41794.11,-1985.21,,0.0
test_results_10094978.csv,49.27,0.06,61.08,,0.0
test_results_10091736.csv,53.4,0.06,61.08,,0.0
test_results_10001450.csv,10.02,-147.97,-57.99,-261.95,-29.54
test_results_10000592.csv,14.09,-1.72,-0.78,-15.08,-8.15
test_results_10001206.csv,22.52,-164.6,-63.62,-23.72,-9.86
test_results_10119054.csv,21.43,-3887.97,-573.06,,0.0
test_results_10120307.csv,53.4,0.06,61.08,,0.0
test_results_10001085.csv,49.94,-28564.1,-1595.34,,0.0
test_results_10136725.csv,53.4,0.06,61.08,,0.0
test_results_10119487.csv,53.73,0.06,61.36,,0.0
test_results_10091729.csv,0.44,0.18,0.09,-0.02,-0.0
test_results_10119485.csv,49.27,0.06,56.0,,0.0
test_results_10115513.csv,3.08,-24.91,-11.91,-114.56,-12.25
test_results_10001128.csv,52.7,-38821.59,-1950.11,,0.0
test_results_10121781.csv,53.73,0.06,61.36,,0.0
test_results_10116071.csv,49.27,0.06,56.0,,0.0
test_results_10000714.csv,16.19,-22.26,-10.65,61.81,-4.39
test_results_10037481.csv,45.99,22.08,31.88,,0.0
test_results_10107952.csv,53.86,0.06,61.17,,0.0
test_results_10100326.csv,53.4,0.06,61.08,,0.0
test_results_10109573.csv,53.73,0.06,61.36,,0.0
test_results_10120902.csv,53.86,-0.17,61.17,,0.0
test_results_10082492.csv,53.73,0.06,61.36,,0.0
test_results_10001060.csv,32.78,-296.53,-99.1,-2.5,-0.28
test_results_10001207.csv,49.42,6.4,14.34,,0.0
test_results_10126036.csv,49.27,0.06,56.0,,0.0
test_results_10108480.csv,53.4,0.06,61.08,,0.0
test_results_10000355.csv,4.89,-4.15,-2.14,-0.1,-0.0
test_results_10023217.csv,53.73,1.54,61.36,,0.0
test_results_10031673.csv,53.4,0.06,61.08,,0.0
test_results_10119486.csv,53.73,0.06,61.36,,0.0
test_results_10091748.csv,10.25,-93.48,-39.29,-18.12,-6.48
test_results_10100806.csv,49.64,0.06,56.33,,0.0
test_results_10120309.csv,52.9,-47124.16,-2180.76,,0.0
test_results_10023862.csv,-2.54,23.4,12.5,32.04,-2.32
test_results_10109498.csv,53.17,0.06,61.12,,0.0
test_results_10000698.csv,19.97,-69.91,-30.02,6.31,-11.23
test_results_10021197.csv,0.1,0.22,0.12,-0.0,-0.0
test_results_10136729.csv,53.73,0.06,61.36,,0.0
test_results_10031966.csv,0.04,0.35,0.2,-0.0,-0.0
test_results_10119491.csv,16.23,-10.61,-5.13,36.63,-4.94
test_results_10108250.csv,53.23,-85.71,-44.26,,0.0
test_results_10001535.csv,3.87,-2638.55,-428.71,-732.43,-17.72
test_results_10021079.csv,38.92,-5492.13,-649.07,-2197.8,-8.87
test_results_10112670.csv,55.37,-575.9,-160.04,24.94,-0.17
test_results_10000995.csv,52.75,0.07,60.32,,0.0
test_results_10120675.csv,31.22,-34.28,-15.64,,0.0
test_results_10023729.csv,-8.16,-38.87,-17.82,-350.45,-56.28
test_results_10001099.csv,7.3,7.18,3.69,7.7,-7.91
test_results_10090692.csv,55.32,-45.3,-19.89,,0.0
test_results_10034311.csv,53.4,0.06,61.08,,0.0
test_results_10116161.csv,19.01,-302.82,-102.56,25.52,-5.27
test_results_10098854.csv,47.18,-2559.68,-404.8,,0.0
test_results_10036333.csv,49.37,-1435.53,-286.32,,0.0
test_results_10033709.csv,55.1,-13989.14,-1081.58,,0.0
test_results_10001612.csv,10.98,-142.18,-56.87,-130.86,-47.34
test_results_10120308.csv,54.08,-40944.29,-1989.77,,0.0
test_results_10102978.csv,53.73,0.06,61.36,,0.0
test_results_10021072.csv,-7.14,-57.29,-26.02,-215.96,-32.43
test_results_10118107.csv,76.69,-31805.73,-1736.13,,0.0
test_results_10107820.csv,53.4,0.06,61.08,,0.0
test_results_10001907.csv,27.39,-20.52,-9.65,44.15,-1.62
test_results_10002203.csv,14.47,-46.9,-20.71,-19.52,-27.22
test_results_10107463.csv,0.0,0.02,0.01,-0.0,-0.0
test_results_10001272.csv,-1.54,-7.14,-3.76,-43.76,-29.88
test_results_10001226.csv,9.39,-17.64,-8.47,7.56,-0.0
test_results_10022426.csv,1.39,0.87,0.45,-0.01,-0.0
test_results_10002173.csv,20.89,-1786.72,-341.82,56.28,-0.05
test_results_10108379.csv,53.4,0.06,61.08,,0.0
test_results_10000330.csv,-24.75,-161.49,-60.82,56.87,-0.42
test_results_10129124.csv,53.4,0.06,61.08,,0.0
test_results_10009606.csv,53.4,0.06,61.08,,0.0
test_results_10106727.csv,53.4,0.06,61.08,,0.0
test_results_10108252.csv,51.87,9.68,18.32,,0.0
test_results_10099462.csv,53.63,0.06,61.21,,0.0
test_results_10107500.csv,2.09,1.1,0.55,1.88,-0.01
test_results_10098668.csv,12.72,-75.96,-33.22,36.19,-0.63
test_results_10005075.csv,41.14,-204.39,-74.45,-183.94,-22.32
test_results_10109866.csv,53.73,0.06,61.36,,0.0
test_results_10005066.csv,51.39,-338.39,-106.0,,0.0
test_results_10033552.csv,51.54,0.05,59.89,,0.0
test_results_10001844.csv,49.27,0.06,56.0,,0.0
test_results_10108248.csv,49.43,-6.42,2.27,,0.0
test_results_10136727.csv,53.4,0.06,61.08,,0.0
test_results_10119044.csv,56.35,-42349.29,-2045.01,,0.0
test_results_10001261.csv,-3.93,-889.46,-214.08,36.26,-0.81
test_results_10125749.csv,53.4,0.06,61.08,,0.0
test_results_10032117.csv,45.82,-7195.98,-754.7,,0.0
test_results_10000304.csv,9.72,3.5,1.77,35.56,-6.21
test_results_10113807.csv,53.73,1.54,56.33,,0.0
test_results_10001553.csv,52.99,-39504.03,-1928.71,,0.0
test_results_10118010.csv,49.27,0.06,61.08,,0.0
test_results_10023630.csv,-6.09,-2420.18,-404.3,-828.53,-28.0
test_results_10113818.csv,55.25,-163.36,-61.07,,0.0
test_results_10109565.csv,49.27,0.06,56.0,,0.0
test_results_10108255.csv,52.4,22.21,39.45,,0.0
test_results_10116204.csv,20.18,-33.12,-15.96,31.73,-8.58
test_results_10033237.csv,53.4,0.06,61.08,,0.0
test_results_10001373.csv,0.54,0.89,0.46,-0.02,-0.0
test_results_10115742.csv,49.64,0.06,56.33,,0.0
test_results_10125747.csv,53.63,0.06,61.21,,0.0
test_results_10044785.csv,47.48,-729.79,-184.6,,0.0
test_results_10025031.csv,-43.25,-903.48,-213.9,-756.89,-20.42
test_results_10116431.csv,53.4,0.06,56.0,,0.0
